hypothesis,strategy,sample,n_trades,hit_rate,ev_per_share,notes
H11,ladder_monotonicity_taker_touch,pilot_jun_jul_2026,1043,,-0.012,"BTC: 1043 violations, median gross 0.1c; both legs taker fee => negative net. ETH 0.8c marginal. SOL large edges are ghost quotes (5-share stale asks in dead deep-ITM strikes). REJECTED at touch/taker; revisit with depth+maker."
H1H2,buy_yes_fv_gap_10c_taker_hold,pilot_jun_jul_2026(6 events),97,0.773,0.1611,"TOO GOOD - only 6 expiry events, one week, label rate 77 vs 60 base; unproven direction luck. NO side NEGATIVE (-0.08). Re-test on full sample."
H9,hourly_taker_thresholds,hourly_sample_jun27_jul16_BTC,78,0.269,-0.0291,"All YES/NO taker thresholds 2-10c: EV -8c..+1c, t<=0. 7pct fee killed hourly latency arb; FV-cheap signals are adverse selection at 1h horizon. REJECTED (taker). Maker untested (needs book fills)."
H21,tape_flow_contrarian,partial_trades_5.6k_files,13898,,-0.0013,Hourly-aggregated aggressor imbalance mildly contrarian (heavy buys -> -0.13c next hour). Too small standalone; candidate entry-timing filter.
EXEC,depth_slippage_at_signals,pilot_books_386_days,928,,,"Median slip over quoted ask: $200:0-0.75c, $500:0.3-1c, $1000:0.8-1.1c, $2000:1.1-1.7c (p90 5-6c). Fill frac ~100% within 25 levels. Taker at $1-2k needs 3-4c+ gross gap."
H18,cross_asset_btc_lag,pilot_jun_jul,2356,,,"After BTC 30-min moves >0.4pct, next-hour ETH/SOL/XRP ladder mid changes uncorrelated with move direction (corr 0.00; per-asset +/-0.03). No exploitable lag at >=15min horizon. REJECTED."
H12,digital_butterfly_arb,fee_era_window,72729,,,INVALIDATED BY REVIEW: digital fly payoff is +1/-1 (not >=0); convexity no-arb applies to vanilla calls only. Not an arb. Replaced by H27 shape-vs-options-RND relative value. Monotonicity remains the only model-free ladder arb (H11: dust).
EXEC,maker_fill_calibration_vs_tape,btc_pilot_828_signals,828,0.707,,"Bar detector 73.2pct vs tape truth 70.7pct fill; 11.5pct false-fill -> use tape fills for final eval. Median 189 sh sell flow through limit in 4h => maker clip ~$100-200/strike; scale via breadth. +0.01 improvement = new level, front of queue."
S1,taker_yes_gap5c_tte3-8_hedged,OOS_2026-05-16_07-16,173,0.434,0.0435,FINAL: train +8.6c t=4.0 (n=340); OOS +4.35c event-weighted t=1.24; depth-adj +4.2c/$500 +3.0c/$2000; robust to 60min lag and 10pct fee; BTC carries (+6.3c). MUST run delta-hedged (raw OOS negative in crash window).
S2,maker_yes_gap2.5c_rest_bid+1c,OOS_2026-05-16_07-16,823,,0.0426,"FINAL: tape-verified fills 72pct, +4.26c/share hedged t=2.75 OOS; clip=through-volume median ~$100 mean ~$1.9k; scales via breadth. Train +1.6c conservative bar-fill model."
PORT,combined_bankroll_sim,OOS_9wk_bootstrap,60,,,"$5k -> median $6.8k (+35%), 10-90pct +2..+114%, P(loss)=0.10, maxDD -19%; $20k -> +60%; capacity ~$50-100k bankroll (clips+through-volume limited). Capital incl. 10x perp hedge margin."
AUDIT-C1,phantom_crossed_quotes,full_sample,227,,,One-sided quote ffill created crossed bars; 67pct of S1 train signals phantom. S1 OOS clean +2.40c t=0.66 (log-hedge) / +0.65c linear. S2 robust. Fixed in battery/final_eval/prep.
AUDIT-M2,linear_vs_log_hedge,clean_S1,173,,-0.009,Real short perp is linear in S; log form overstated hedged EV 0.8-1.1c/sh. Paperbot now linear.
SPRINT,mechanism_extend_2024_2025,1034_old_markets,431,,0.076,"Signal fv-vwap>5c: +7.6c/sh hedged on old labels t=4.8, 6/7 quarters positive; PM->FV convergence beta 0.345@24h; mechanism confirmed out-of-era. NOT fill-realistic."
SPRINT,funding_credit,oos,1141,,0.0009,"Short perp hedge EARNS funding +0.08-0.11c/sh, t up to 7.9. Adopt in accounting."
FINAL,corrected_final_eval,post_audit_canonical,796,0.418,0.0267,"maker_yes: train +1.73c t=2.41 -> OOS +2.67c t=1.85 (conservative fills, crossed-quotes excluded). taker_yes train-best FAILED OOS (-1.1c t=-0.29). taker_no/maker_no fail train gates."
